Mağaza,X_Koordinat,Y_Koordinat,Ürün,Fiyat
Gida_Magaza_0,5.16817211686077,53.1354631568148,Salam,112.41
Gida_Magaza_0,5.16817211686077,53.1354631568148,Avakado,16.01
Gida_Magaza_0,5.16817211686077,53.1354631568148,Mayonez,186.12
Gida_Magaza_0,5.16817211686077,53.1354631568148,Ceviz,143.39
Gida_Magaza_0,5.16817211686077,53.1354631568148,Redbull,88.67
Gida_Magaza_0,5.16817211686077,53.1354631568148,Meyve Suyu,123.69
Gida_Magaza_0,5.16817211686077,53.1354631568148,Şeker,91.66
Gida_Magaza_0,5.16817211686077,53.1354631568148,Pasta Kreması,98.41
Gida_Magaza_0,5.16817211686077,53.1354631568148,Patlıcan,178.49
Gida_Magaza_0,5.16817211686077,53.1354631568148,Nutella,40.61
Gida_Magaza_0,5.16817211686077,53.1354631568148,Portakal,29.7
Gida_Magaza_0,5.16817211686077,53.1354631568148,Zeytinyağı,10.52
Gida_Magaza_0,5.16817211686077,53.1354631568148,Balık,69.66
Gida_Magaza_0,5.16817211686077,53.1354631568148,Bisküvi,38.01
Gida_Magaza_0,5.16817211686077,53.1354631568148,Hurma,51.8
Gida_Magaza_0,5.16817211686077,53.1354631568148,Soğan,12.14
Gida_Magaza_0,5.16817211686077,53.1354631568148,Makarna,53.17
Gida_Magaza_0,5.16817211686077,53.1354631568148,Sirke,73.22
Gida_Magaza_0,5.16817211686077,53.1354631568148,Un,16.0
Gida_Magaza_0,5.16817211686077,53.1354631568148,Süt,125.5
Gida_Magaza_0,5.16817211686077,53.1354631568148,Pekmez,118.07
Gida_Magaza_0,5.16817211686077,53.1354631568148,Reçel,28.44
Gida_Magaza_0,5.16817211686077,53.1354631568148,Çikolata,123.05
Gida_Magaza_0,5.16817211686077,53.1354631568148,Gazoz,199.74
Gida_Magaza_0,5.16817211686077,53.1354631568148,Hardal,189.45
Gida_Magaza_0,5.16817211686077,53.1354631568148,Sarımsak,10.51
Gida_Magaza_0,5.16817211686077,53.1354631568148,Simit,161.12
Gida_Magaza_0,5.16817211686077,53.1354631568148,Pide,77.19
Gida_Magaza_0,5.16817211686077,53.1354631568148,Limonata,22.09
Gida_Magaza_0,5.16817211686077,53.1354631568148,Üzüm,66.24
Gida_Magaza_0,5.16817211686077,53.1354631568148,Havuç,71.13
Gida_Magaza_0,5.16817211686077,53.1354631568148,Fıstık,109.42
Gida_Magaza_1,54.06351216101065,63.742990149820656,Bisküvi,135.61
Gida_Magaza_1,54.06351216101065,63.742990149820656,Makarna,152.32
Gida_Magaza_1,54.06351216101065,63.742990149820656,Mısır Gevreği,56.72
Gida_Magaza_1,54.06351216101065,63.742990149820656,Kaşar Peyniri,71.14
Gida_Magaza_1,54.06351216101065,63.742990149820656,Çilek,68.59
Gida_Magaza_1,54.06351216101065,63.742990149820656,Zeytinyağı,78.92
Gida_Magaza_1,54.06351216101065,63.742990149820656,Ceviz,199.93
Gida_Magaza_1,54.06351216101065,63.742990149820656,Nar Ekşisi,157.81
Gida_Magaza_1,54.06351216101065,63.742990149820656,Brokoli,195.25
Gida_Magaza_1,54.06351216101065,63.742990149820656,Sucuk,141.69
Gida_Magaza_1,54.06351216101065,63.742990149820656,Yulaf,87.19
Gida_Magaza_1,54.06351216101065,63.742990149820656,Kuru Üzüm,84.05
Gida_Magaza_1,54.06351216101065,63.742990149820656,Tavuk,102.83
Gida_Magaza_1,54.06351216101065,63.742990149820656,Badem,89.21
